id_venda,data_venda,id_cliente,id_produto,produto,categoria,valor_venda,quantidade,faturamento,mes
1,2023-02-07,109,8,Livro: A Guerra dos Tronos,Livros,2677.12,2,5354.24,2023-02
2,2023-01-11,139,7,Headset Surround 7.1,Áudio,1210.1,1,1210.1,2023-01
3,2023-02-16,104,17,Mousepad Gamer XXL,Periféricos,2393.06,2,4786.12,2023-02
4,2023-03-20,145,17,Mousepad Gamer XXL,Periféricos,3925.92,3,11777.76,2023-03
5,2023-02-16,134,16,Memória RAM 16GB DDR5,Componentes,4702.89,1,4702.89,2023-02
6,2023-01-20,108,11,Luminária de Mesa LED,Decoração,4625.05,1,4625.05,2023-01
7,2023-03-22,130,19,Livro: Duna,Livros,2980.27,1,2980.27,2023-03
8,2023-02-20,119,10,Mesa Digitalizadora,Periféricos,4666.04,1,4666.04,2023-02
9,2023-02-12,108,10,Mesa Digitalizadora,Periféricos,1145.25,4,4581.0,2023-02
10,2023-02-09,117,16,Memória RAM 16GB DDR5,Componentes,1196.31,4,4785.24,2023-02
11,2023-02-16,140,16,Memória RAM 16GB DDR5,Componentes,3642.34,3,10927.02,2023-02
12,2023-02-20,118,10,Mesa Digitalizadora,Periféricos,3163.4,3,9490.2,2023-02
13,2023-01-02,126,2,Smartphone Pro,Eletrônicos,1263.49,4,5053.96,2023-01
14,2023-01-02,124,6,Mouse Gamer Sem Fio,Periféricos,3421.58,4,13686.32,2023-01
15,2023-03-05,143,1,Notebook Gamer,Eletrônicos,3374.03,4,13496.12,2023-03
16,2023-03-16,142,18,Livro: O Senhor dos Anéis,Livros,4009.95,3,12029.849999999999,2023-03
17,2023-01-26,122,4,"Monitor Ultrawide 34""",Periféricos,4952.4,3,14857.199999999999,2023-01
18,2023-01-09,126,17,Mousepad Gamer XXL,Periféricos,2790.08,2,5580.16,2023-01
19,2023-03-08,118,4,"Monitor Ultrawide 34""",Periféricos,2750.54,1,2750.54,2023-03
20,2023-03-13,135,4,"Monitor Ultrawide 34""",Periféricos,2230.8,2,4461.6,2023-03
21,2023-02-05,129,12,Action Figure: Batman,Colecionáveis,4127.64,1,4127.64,2023-02
22,2023-03-29,123,18,Livro: O Senhor dos Anéis,Livros,2382.12,2,4764.24,2023-03
23,2023-02-22,113,1,Notebook Gamer,Eletrônicos,4548.53,3,13645.59,2023-02
24,2023-02-27,121,5,Teclado Mecânico RGB,Periféricos,1858.35,3,5575.049999999999,2023-02
25,2023-01-03,117,2,Smartphone Pro,Eletrônicos,2492.17,1,2492.17,2023-01
